,two_qubit_reduction,one_qubit_reduction,cx_count_out,cx_count_in,one_qubit_count_out,one_qubit_count_in,n_qubits,n_rep,non_matching_cx,time_diff,arch,algorithm,p_edge,circ_reps
154,-0.2,-9.428571428571429,12,10,73,7,4,18,6,0.011037826538085938,square,pyzx,0.5,1
155,-0.2,-2.857142857142857,12,10,27,7,4,18,0,0.0055658817291259766,square,tket,0.5,1
156,0.125,0.0,14,16,8,8,4,19,0,0.014657020568847656,square,divide_fast,0.5,1
157,0.25,0.0,12,16,8,8,4,19,0,1.610987901687622,square,pauli_opt,0.5,1
158,-0.5,-13.0,24,16,112,8,4,19,0,0.018959760665893555,square,pyzx,0.5,1
159,-0.375,-2.625,22,16,29,8,4,19,0,0.008813142776489258,square,tket,0.5,1
160,-0.125,0.0,18,16,6,6,4,0,0,0.013939142227172852,line,divide_fast,0.5,1
161,0.625,0.0,6,16,6,6,4,0,0,1.3943538665771484,line,pauli_opt,0.5,1
162,0.75,-8.666666666666666,4,16,58,6,4,0,4,0.008939981460571289,line,pyzx,0.5,1
163,0.75,-3.3333333333333335,4,16,26,6,4,0,4,0.004711151123046875,line,tket,0.5,1
164,0.0,0.0,4,4,6,6,4,1,0,0.011657953262329102,line,divide_fast,0.5,1
165,-0.5,0.0,6,4,6,6,4,1,0,1.274925947189331,line,pauli_opt,0.5,1
166,-3.0,-11.833333333333334,16,4,77,6,4,1,6,0.01559591293334961,line,pyzx,0.5,1
167,0.0,-3.3333333333333335,4,4,26,6,4,1,0,0.00590205192565918,line,tket,0.5,1
168,0.0,0.0,6,6,5,5,4,2,0,0.010190248489379883,line,divide_fast,0.5,1
169,0.3333333333333333,0.0,4,6,5,5,4,2,0,1.2065231800079346,line,pauli_opt,0.5,1
170,0.6666666666666666,-7.6,2,6,43,5,4,2,2,0.01110696792602539,line,pyzx,0.5,1
171,0.6666666666666666,-4.0,2,6,25,5,4,2,2,0.005316019058227539,line,tket,0.5,1
172,0.3333333333333333,0.0,8,12,8,8,4,3,0,0.02018880844116211,line,divide_fast,0.5,1
173,0.16666666666666666,0.0,10,12,8,8,4,3,0,1.382256031036377,line,pauli_opt,0.5,1
174,-1.75,-13.0,33,12,112,8,4,3,0,0.015486001968383789,line,pyzx,0.5,1
175,0.5,-2.375,6,12,27,8,4,3,2,0.005009889602661133,line,tket,0.5,1
176,0.0,0.0,6,6,5,5,4,4,0,0.009366035461425781,line,divide_fast,0.5,1
177,0.3333333333333333,0.0,4,6,5,5,4,4,0,1.2378458976745605,line,pauli_opt,0.5,1
178,0.6666666666666666,-7.6,2,6,43,5,4,4,2,0.017686843872070312,line,pyzx,0.5,1
179,0.6666666666666666,-4.0,2,6,25,5,4,4,2,0.004266023635864258,line,tket,0.5,1
180,0.375,0.0,10,16,8,8,4,5,0,0.01729607582092285,line,divide_fast,0.5,1
181,0.125,0.0,14,16,8,8,4,5,0,1.4229190349578857,line,pauli_opt,0.5,1
182,-0.3125,-10.125,21,16,89,8,4,5,12,0.01625514030456543,line,pyzx,0.5,1
183,0.125,-2.375,14,16,27,8,4,5,8,0.005521059036254883,line,tket,0.5,1
184,0.0,0.0,4,4,6,6,4,6,0,0.01186513900756836,line,divide_fast,0.5,1
185,0.0,0.0,4,4,6,6,4,6,0,1.2958269119262695,line,pauli_opt,0.5,1
186,-3.0,-11.833333333333334,16,4,77,6,4,6,6,0.012870073318481445,line,pyzx,0.5,1
187,0.0,-3.3333333333333335,4,4,26,6,4,6,0,0.005856990814208984,line,tket,0.5,1
188,0.0,0.0,2,2,5,5,4,7,0,0.008909940719604492,line,divide_fast,0.5,1
189,-1.0,0.0,4,2,5,5,4,7,0,1.2482528686523438,line,pauli_opt,0.5,1
190,0.0,-7.6,2,2,43,5,4,7,0,0.016041994094848633,line,pyzx,0.5,1
191,0.0,-4.0,2,2,25,5,4,7,0,0.0061490535736083984,line,tket,0.5,1
192,0.0,0.0,12,12,6,6,4,8,0,0.014734745025634766,line,divide_fast,0.5,1
193,0.3333333333333333,0.0,8,12,6,6,4,8,0,1.45713210105896,line,pauli_opt,0.5,1
194,0.6666666666666666,-8.666666666666666,4,12,58,6,4,8,4,0.00888514518737793,line,pyzx,0.5,1
195,0.6666666666666666,-3.3333333333333335,4,12,26,6,4,8,4,0.00458216667175293,line,tket,0.5,1
196,0.2727272727272727,0.0,16,22,9,9,4,9,0,0.01780867576599121,line,divide_fast,0.5,1
197,0.45454545454545453,0.0,12,22,9,9,4,9,0,1.6589000225067139,line,pauli_opt,0.5,1
198,0.09090909090909091,-8.333333333333334,20,22,84,9,4,9,11,0.016021251678466797,line,pyzx,0.5,1
199,0.09090909090909091,-2.111111111111111,20,22,28,9,4,9,0,0.006457805633544922,line,tket,0.5,1
200,0.3333333333333333,0.0,16,24,8,8,4,10,0,0.0156707763671875,line,divide_fast,0.5,1
201,0.4166666666666667,0.0,14,24,8,8,4,10,0,1.611461877822876,line,pauli_opt,0.5,1
202,-0.375,-13.0,33,24,112,8,4,10,12,0.01535177230834961,line,pyzx,0.5,1
203,-0.041666666666666664,-2.625,25,24,29,8,4,10,13,0.0073070526123046875,line,tket,0.5,1
204,0.25,0.0,6,8,6,6,4,11,0,0.01256418228149414,line,divide_fast,0.5,1
205,0.25,0.0,6,8,6,6,4,11,0,1.3233509063720703,line,pauli_opt,0.5,1
206,-1.0,-11.833333333333334,16,8,77,6,4,11,4,0.01111912727355957,line,pyzx,0.5,1
207,-0.5,-3.5,12,8,27,6,4,11,6,0.00587916374206543,line,tket,0.5,1
208,0.14285714285714285,0.0,12,14,7,7,4,12,0,0.013203859329223633,line,divide_fast,0.5,1
209,0.2857142857142857,0.0,10,14,7,7,4,12,0,1.3671071529388428,line,pauli_opt,0.5,1
210,-0.5,-12.142857142857142,21,14,92,7,4,12,21,0.01267099380493164,line,pyzx,0.5,1
211,0.5714285714285714,-2.857142857142857,6,14,27,7,4,12,4,0.004893779754638672,line,tket,0.5,1
212,0.16666666666666666,0.0,10,12,6,6,4,13,0,0.01247096061706543,line,divide_fast,0.5,1
213,0.16666666666666666,0.0,10,12,6,6,4,13,0,1.3533871173858643,line,pauli_opt,0.5,1
214,0.6666666666666666,-8.666666666666666,4,12,58,6,4,13,2,0.013496637344360352,line,pyzx,0.5,1
215,0.6666666666666666,-3.3333333333333335,4,12,26,6,4,13,2,0.004682064056396484,line,tket,0.5,1
216,0.375,0.0,10,16,8,8,4,14,0,0.014678001403808594,line,divide_fast,0.5,1
217,0.25,0.0,12,16,8,8,4,14,0,1.45619797706604,line,pauli_opt,0.5,1
218,-0.3125,-10.125,21,16,89,8,4,14,12,0.014686822891235352,line,pyzx,0.5,1
219,0.125,-2.375,14,16,27,8,4,14,8,0.005427837371826172,line,tket,0.5,1
220,0.0,0.0,10,10,5,5,4,15,0,0.009397029876708984,line,divide_fast,0.5,1
221,0.4,0.0,6,10,5,5,4,15,0,1.474693775177002,line,pauli_opt,0.5,1
222,0.8,-7.6,2,10,43,5,4,15,2,0.0074901580810546875,line,pyzx,0.5,1
223,0.8,-4.0,2,10,25,5,4,15,2,0.004285335540771484,line,tket,0.5,1
224,0.375,0.0,10,16,8,8,4,16,0,0.014747142791748047,line,divide_fast,0.5,1
225,0.25,0.0,12,16,8,8,4,16,0,1.523486852645874,line,pauli_opt,0.5,1
226,-1.0625,-13.0,33,16,112,8,4,16,11,0.015799999237060547,line,pyzx,0.5,1
227,0.625,-2.375,6,16,27,8,4,16,4,0.005008220672607422,line,tket,0.5,1
228,0.16666666666666666,0.0,10,12,6,6,4,17,0,0.012539148330688477,line,divide_fast,0.5,1
229,0.3333333333333333,0.0,8,12,6,6,4,17,0,1.4901752471923828,line,pauli_opt,0.5,1
